region_id,region_type,color,pixel_count,parent_id,local_bbox_min_x,local_bbox_min_y,local_bbox_max_x,local_bbox_max_y,local_center_x,local_center_y,local_seed_x,local_seed_y,global_bbox_min_x,global_bbox_min_y,global_bbox_max_x,global_bbox_max_y,global_center_x,global_center_y,global_seed_x,global_seed_y
DST000001,ocean,#1d3a6b,254,AREA000002,0,0,61,8,28,3,28,3,1027,0,1088,8,1055,3,1055,3
DST000002,land,#4d7318,82,AREA000003,0,0,36,4,20,2,20,2,1316,0,1352,4,1336,2,1336,2
DST000003,land,#31f749,98,AREA000004,0,0,32,5,16,2,16,2,1392,0,1424,5,1408,2,1408,2
DST000004,land,#567099,374,AREA000005,0,0,80,7,39,3,39,3,1429,0,1509,7,1468,3,1468,3
DST000005,land,#fa61d1,199,AREA000006,0,0,47,7,23,3,23,3,1513,0,1560,7,1536,3,1536,3
DST000006,ocean,#2103b1,71855,AREA000009,0,0,1007,174,430,50,430,50,3171,0,4178,174,3601,50,3601,50
DST000007,land,#97981a,776,AREA000010,0,0,98,28,44,12,44,12,3661,0,3759,28,3705,12,3705,12
DST000008,land,#b25108,31006,AREA000007,254,0,572,146,384,57,372,57,2177,0,2495,146,2307,57,2295,57
DST000009,land,#1584a2,40781,AREA000007,0,0,272,233,162,98,154,101,1923,0,2195,233,2085,98,2077,101
DST000010,ocean,#33237d,53456,AREA000012,0,0,1062,96,652,32,652,32,4569,0,5631,96,5221,32,5221,32
DST000011,ocean,#2d4f83,50,AREA000013,0,0,24,10,11,6,11,6,2491,0,2515,10,2502,6,2502,6
DST000012,land,#6a136a,236,AREA000014,0,0,46,16,22,9,22,9,4537,3,4583,19,4559,12,4559,12
DST000013,land,#268094,4201,AREA000015,0,0,159,53,69,23,69,23,848,6,1007,59,917,29,917,29
DST000014,ocean,#201372,57,AREA000016,0,0,22,7,10,3,10,3,4568,6,4590,13,4578,9,4578,9
DST000015,land,#95bc95,1308,AREA000017,0,0,83,35,34,14,34,14,1317,12,1400,47,1351,26,1351,26
DST000016,ocean,#3505a3,225,AREA000018,0,0,54,16,30,10,30,10,4486,11,4540,27,4516,21,4516,21
DST000017,ocean,#33277c,247,AREA000019,0,0,44,11,22,5,22,5,5018,16,5062,27,5040,21,5040,21
DST000018,land,#628096,1606,AREA000020,0,0,98,41,57,20,57,20,1208,15,1306,56,1265,35,1265,35
DST000019,land,#479dca,21511,AREA000021,0,0,440,187,238,80,238,80,1406,17,1846,204,1644,97,1644,97
DST000020,ocean,#05498b,193,AREA000022,0,0,35,13,18,5,18,5,1143,19,1178,32,1161,24,1161,24
DST000021,land,#2760fb,551,AREA000023,0,0,71,14,34,7,34,7,1550,19,1621,33,1584,26,1584,26
DST000022,land,#c9d017,1517,AREA000024,0,0,88,46,45,24,45,24,3621,22,3709,68,3666,46,3666,46
DST000023,land,#ca3852,11493,AREA000025,0,0,278,77,135,39,135,39,951,24,1229,101,1086,63,1086,63
DST000024,land,#622fa3,173,AREA000026,0,0,49,17,20,9,20,9,1550,27,1599,44,1570,36,1570,36
DST000025,land,#24f274,61,AREA000027,0,0,37,8,18,4,18,4,2387,26,2424,34,2405,30,2405,30
DST000026,land,#f85ee0,93,AREA000028,0,0,34,18,16,9,16,9,2430,25,2464,43,2446,34,2446,34
DST000027,land,#7d9cce,195,AREA000030,0,0,35,10,15,5,15,5,0,52,35,62,15,57,15,57
DST000028,ocean,#2633ac,58,AREA000031,0,0,18,15,9,8,9,8,4104,50,4122,65,4113,58,4113,58
DST000029,land,#b6d6e1,76,AREA000032,0,0,17,10,10,6,10,6,5614,54,5631,64,5624,60,5624,60
DST000030,land,#39d060,59825,AREA000033,0,0,448,244,228,102,228,102,188,56,636,300,416,158,416,158
DST000031,land,#fc07eb,107,AREA000034,0,0,40,12,21,7,21,7,2377,59,2417,71,2398,66,2398,66
DST000032,land,#92895f,2127,AREA000035,0,0,176,47,90,22,90,22,3084,61,3260,108,3174,83,3174,83
DST000033,land,#f32aa6,300,AREA000036,0,0,42,24,19,11,19,11,3256,63,3298,87,3275,74,3275,74
DST000034,ocean,#07378e,95,AREA000037,0,0,29,12,14,6,14,6,3733,70,3762,82,3747,76,3747,76
DST000035,land,#240a88,115,AREA000038,0,0,42,18,22,8,22,8,1721,73,1763,91,1743,81,1743,81
DST000036,land,#add3cf,273,AREA000039,0,0,44,15,20,8,20,8,1958,72,2002,87,1978,80,1978,80
DST000037,ocean,#390a79,62,AREA000040,0,0,29,11,15,6,15,6,749,75,778,86,764,81,764,81
DST000038,land,#2caffa,14047,AREA000041,0,0,164,157,82,86,82,86,3145,77,3309,234,3227,163,3227,163
DST000039,ocean,#343476,51,AREA000042,0,0,22,6,11,3,11,3,5445,77,5467,83,5456,80,5456,80
DST000040,land,#75e76a,485,AREA000043,0,0,52,25,27,13,27,13,1264,79,1316,104,1291,92,1291,92
DST000041,ocean,#342996,519,AREA000044,0,0,45,40,21,16,21,16,1304,83,1349,123,1325,99,1325,99
DST000042,ocean,#054d7e,183,AREA000045,0,0,28,12,13,6,13,6,3572,85,3600,97,3585,91,3585,91
DST000043,land,#c6d8b7,90,AREA000046,0,0,23,19,12,8,12,8,4014,91,4037,110,4026,99,4026,99
DST000044,land,#07c9ab,17657,AREA000047,0,0,202,214,88,97,88,97,2990,92,3192,306,3078,189,3078,189
DST000045,land,#b458f8,4405,AREA000048,0,0,150,72,64,38,64,38,0,94,150,166,64,132,64,132
DST000046,ocean,#1b12a6,130,AREA000049,0,0,45,14,22,6,22,6,1116,94,1161,108,1138,100,1138,100
DST000047,land,#f86acf,381,AREA000050,0,0,34,16,17,8,17,8,1606,104,1640,120,1623,112,1623,112
DST000048,land,#26449b,7399,AREA000051,0,0,180,162,78,99,78,99,2895,102,3075,264,2973,201,2973,201
DST000049,land,#66591d,83,AREA000052,0,0,41,17,22,8,22,8,1973,105,2014,122,1995,113,1995,113
DST000050,land,#5f3f95,160,AREA000053,0,0,37,13,18,6,18,6,1978,119,2015,132,1996,125,1996,125
DST000051,land,#8cb1aa,851,AREA000054,0,0,81,32,37,15,37,15,891,124,972,156,928,139,928,139
DST000052,land,#266478,87765,AREA000029,733,148,1335,466,1023,302,961,270,1341,194,1943,512,1631,348,1569,316
DST000053,land,#aee82b,140665,AREA000029,277,0,935,365,558,200,476,215,885,46,1543,411,1166,246,1084,261
DST000054,land,#bef237,72261,AREA000029,0,25,350,359,186,155,170,145,608,71,958,405,794,201,778,191
